"","Trend","Date","Hour","temp7","Z1","Peak","year","Month","week","HM","T2","T3","TH","T2H","T3H","TM","T2M","T3M"
"35065",35065,2009-01-01,1,53.8947523,767.101279130019,NA,2009,1,5,1,2904.64432547836,156545.086441257,53.8947523,2904.64432547836,156545.086441257,53.8947523,2904.64432547836,156545.086441257
"35066",35066,2009-01-01,2,54.34526087,774.124851473907,NA,2009,1,5,2,2953.40737902835,160503.694468679,108.69052174,5906.81475805671,321007.388937358,54.34526087,2953.40737902835,160503.694468679
"35067",35067,2009-01-01,3,54.79576944,781.43133927701,NA,2009,1,5,3,3002.57634852164,164528.481319589,164.38730832,9007.72904556491,493585.443958766,54.79576944,3002.57634852164,164528.481319589
"35068",35068,2009-01-01,4,55.246278,789.03345307694,NA,2009,1,5,4,3052.15123285328,168619.995508255,220.985112,12208.6049314131,674479.982033021,55.246278,3052.15123285328,168619.995508255
"35069",35069,2009-01-01,5,55.69678657,796.94440761891,NA,2009,1,5,5,3102.13203422413,172778.785822141,278.48393285,15510.6601711207,863893.929110707,55.69678657,3102.13203422413,172778.785822141
"35070",35070,2009-01-01,6,56.14729514,805.177922521837,NA,2009,1,5,6,3152.51875153827,177005.400777003,336.88377084,18915.1125092296,1062032.40466202,56.14729514,3152.51875153827,177005.400777003
"35071",35071,2009-01-01,7,56.59780371,813.748221828304,NA,2009,1,5,7,3203.31138479569,181300.388978675,396.18462597,22423.1796935698,1269102.72285072,56.59780371,3203.31138479569,181300.388978675
"35072",35072,2009-01-01,8,57.04831228,822.670034118528,NA,2009,1,5,8,3254.5099339964,185664.299032989,456.38649824,26036.0794719712,1485314.39226391,57.04831228,3254.5099339964,185664.299032989
"35073",35073,2009-01-01,9,57.49882084,831.958592584787,NA,2009,1,5,9,3306.11439799042,190097.679446596,517.48938756,29755.0295819138,1710879.11501936,57.49882084,3306.11439799042,190097.679446596
"35074",35074,2009-01-01,10,57.94932941,841.629634726305,NA,2009,1,5,10,3358.12477906869,194601.079022135,579.4932941,33581.2477906869,1946010.79022135,57.94932941,3358.12477906869,194601.079022135
"35075",35075,2009-01-01,11,58.39983798,851.699402817794,NA,2009,1,5,11,3410.54107609025,199175.046267805,642.39821778,37515.9518369928,2190925.50894586,58.39983798,3410.54107609025,199175.046267805
"35076",35076,2009-01-01,12,58.85034655,862.184643590006,NA,2009,1,5,12,3463.3632890551,203820.12978944,706.2041586,41560.3594686612,2445841.55747328,58.85034655,3463.3632890551,203820.12978944
"35077",35077,2009-01-01,13,59.30085512,873.102608311331,NA,2009,1,5,13,3516.59141796323,208536.878192873,770.91111656,45715.688433522,2710979.41650735,59.30085512,3516.59141796323,208536.878192873
"35078",35078,2009-01-01,14,59.75136369,884.471052787793,NA,2009,1,5,14,3570.22546281465,213325.840083937,836.51909166,49983.1564794051,2986561.76117511,59.75136369,3570.22546281465,213325.840083937
"35079",35079,2009-01-01,15,60.20187225,896.308237388875,NA,2009,1,5,15,3624.26542240532,218187.563959737,903.02808375,54363.9813360798,3272813.45939606,60.20187225,3624.26542240532,218187.563959737
"35080",35080,2009-01-01,16,60.65238082,908.632926935126,NA,2009,1,5,16,3678.7112991343,223122.598641931,970.43809312,58859.3807861489,3569961.57827089,60.65238082,3678.7112991343,223122.598641931
"35081",35081,2009-01-01,17,61.10288939,921.464390880095,NA,2009,1,5,17,3733.56309180657,228131.492629244,1038.74911963,63470.5725607118,3878235.37469714,61.10288939,3733.56309180657,228131.492629244
"35082",35082,2009-01-01,18,61.55339796,934.822403180342,NA,2009,1,5,18,3788.82080042213,233214.794527509,1107.96116328,68198.7744075984,4197866.30149517,61.55339796,3788.82080042213,233214.794527509
"35083",35083,2009-01-01,19,62.00390653,948.727242330065,NA,2009,1,5,19,3844.48442498098,238373.052942561,1178.07422407,73045.2040746386,4529088.00590867,62.00390653,3844.48442498098,238373.052942561
"35084",35084,2009-01-01,20,62.45441509,963.19969133818,NA,2009,1,5,20,3900.55396423402,243606.816363216,1249.0883018,78011.0792846804,4872136.32726433,62.45441509,3900.55396423402,243606.816363216
"35085",35085,2009-01-01,21,62.90492366,978.261037809237,NA,2009,1,5,21,3957.02942067043,248916.633627647,1321.00339686,83097.617834079,5227249.30618059,62.90492366,3957.02942067043,248916.633627647
"35086",35086,2009-01-01,22,63.35543223,993.933073837817,NA,2009,1,5,22,4013.91079305012,254303.053226353,1393.81950906,88306.0374471027,5594667.17097976,63.35543223,4013.91079305012,254303.053226353
"35087",35087,2009-01-01,23,63.8059408,1010.23809606865,NA,2009,1,5,23,4071.1980813731,259766.623765166,1467.5366384,93637.5558715814,5974632.34659882,63.8059408,4071.1980813731,259766.623765166
"35088",35088,2009-01-01,24,64.25644937,1027.19890568411,NA,2009,1,5,24,4128.89128563937,265307.893849921,1542.15478488,99093.390855345,6367389.45239809,64.25644937,4128.89128563937,265307.893849921
"35089",35089,2009-01-02,1,53.89710652,767.275234676442,NA,2009,1,6,1,2904.89809122823,156565.601852672,53.89710652,2904.89809122823,156565.601852672,53.89710652,2904.89809122823,156565.601852672
"35090",35090,2009-01-02,2,54.34761508,774.300136083814,NA,2009,1,6,2,2953.66326488384,160524.554195843,108.69523016,5907.32652976769,321049.108391686,54.34761508,2953.66326488384,160524.554195843
"35091",35091,2009-01-02,3,54.79812365,781.607998222188,NA,2009,1,6,3,3002.83435556069,164549.688316483,164.39437095,9008.50306668207,493649.064949448,54.79812365,3002.83435556069,164549.688316483
"35092",35092,2009-01-02,4,55.24863222,789.21153362408,NA,2009,1,6,4,3052.41136218082,168641.552733277,220.99452888,12209.6454487233,674566.21093311,55.24863222,3052.41136218082,168641.552733277
"35093",35093,2009-01-02,5,55.69914079,797.123959234222,NA,2009,1,6,5,3102.39428474424,172800.696052061,278.49570395,15511.9714237212,864003.480260305,55.69914079,3102.39428474424,172800.696052061
