,Trend,Date,Hour,temp7,Z1,Peak,year,Month,week,HM,T2,T3,TH,T2H,T3H,TM,T2M,T3M
35065,35065,1/1/2009,1,53.8947523,767.1012791,0.004750975,2009,1,5,1,2904.644325,156545.0864,53.8947523,2904.644325,156545.0864,53.8947523,2904.644325,156545.0864
35066,35066,1/1/2009,2,54.34526087,774.1248515,0.005018691,2009,1,5,2,2953.407379,160503.6945,108.6905217,5906.814758,321007.3889,54.34526087,2953.407379,160503.6945
35067,35067,1/1/2009,3,54.79576944,781.4313393,0.005323972,2009,1,5,3,3002.576349,164528.4813,164.3873083,9007.729046,493585.444,54.79576944,3002.576349,164528.4813
35068,35068,1/1/2009,4,55.246278,789.0334531,0.005671512,2009,1,5,4,3052.151233,168619.9955,220.985112,12208.60493,674479.982,55.246278,3052.151233,168619.9955
35069,35069,1/1/2009,5,55.69678657,796.9444076,0.006066804,2009,1,5,5,3102.132034,172778.7858,278.4839329,15510.66017,863893.9291,55.69678657,3102.132034,172778.7858
35070,35070,1/1/2009,6,56.14729514,805.1779225,0.006516268,2009,1,5,6,3152.518752,177005.4008,336.8837708,18915.11251,1062032.405,56.14729514,3152.518752,177005.4008
35071,35071,1/1/2009,7,56.59780371,813.7482218,0.007027415,2009,1,5,7,3203.311385,181300.389,396.184626,22423.17969,1269102.723,56.59780371,3203.311385,181300.389
35072,35072,1/1/2009,8,57.04831228,822.6700341,0.007609027,2009,1,5,8,3254.509934,185664.299,456.3864982,26036.07947,1485314.392,57.04831228,3254.509934,185664.299
35073,35073,1/1/2009,9,57.49882084,831.9585926,0.00827139,2009,1,5,9,3306.114398,190097.6794,517.4893876,29755.02958,1710879.115,57.49882084,3306.114398,190097.6794
35074,35074,1/1/2009,10,57.94932941,841.6296347,0.009026555,2009,1,5,10,3358.124779,194601.079,579.4932941,33581.24779,1946010.79,57.94932941,3358.124779,194601.079
35075,35075,1/1/2009,11,58.39983798,851.6994028,0.009888656,2009,1,5,11,3410.541076,199175.0463,642.3982178,37515.95184,2190925.509,58.39983798,3410.541076,199175.0463
35076,35076,1/1/2009,12,58.85034655,862.1846436,0.010874292,2009,1,5,12,3463.363289,203820.1298,706.2041586,41560.35947,2445841.557,58.85034655,3463.363289,203820.1298
35077,35077,1/1/2009,13,59.30085512,873.1026083,0.012002971,2009,1,5,13,3516.591418,208536.8782,770.9111166,45715.68843,2710979.417,59.30085512,3516.591418,208536.8782
35078,35078,1/1/2009,14,59.75136369,884.4710528,0.013297648,2009,1,5,14,3570.225463,213325.8401,836.5190917,49983.15648,2986561.761,59.75136369,3570.225463,213325.8401
35079,35079,1/1/2009,15,60.20187225,896.3082374,0.014785357,2009,1,5,15,3624.265422,218187.564,903.0280838,54363.98134,3272813.459,60.20187225,3624.265422,218187.564
35080,35080,1/1/2009,16,60.65238082,908.6329269,0.016497959,2009,1,5,16,3678.711299,223122.5986,970.4380931,58859.38079,3569961.578,60.65238082,3678.711299,223122.5986
35081,35081,1/1/2009,17,61.10288939,921.4643909,0.01847303,2009,1,5,17,3733.563092,228131.4926,1038.74912,63470.57256,3878235.375,61.10288939,3733.563092,228131.4926
35082,35082,1/1/2009,18,61.55339796,934.8224032,0.020754902,2009,1,5,18,3788.8208,233214.7945,1107.961163,68198.77441,4197866.301,61.55339796,3788.8208,233214.7945
35083,35083,1/1/2009,19,62.00390653,948.7272423,0.023395877,2009,1,5,19,3844.484425,238373.0529,1178.074224,73045.20407,4529088.006,62.00390653,3844.484425,238373.0529
35084,35084,1/1/2009,20,62.45441509,963.1996913,0.026457642,2009,1,5,20,3900.553964,243606.8164,1249.088302,78011.07928,4872136.327,62.45441509,3900.553964,243606.8164
35085,35085,1/1/2009,21,62.90492366,978.2610378,0.030012895,2009,1,5,21,3957.029421,248916.6336,1321.003397,83097.61783,5227249.306,62.90492366,3957.029421,248916.6336
35086,35086,1/1/2009,22,63.35543223,993.9330738,0.034147194,2009,1,5,22,4013.910793,254303.0532,1393.819509,88306.03745,5594667.171,63.35543223,4013.910793,254303.0532
35087,35087,1/1/2009,23,63.8059408,1010.238096,0.038961019,2009,1,5,23,4071.198081,259766.6238,1467.536638,93637.55587,5974632.347,63.8059408,4071.198081,259766.6238
35088,35088,1/1/2009,24,64.25644937,1027.198906,0.044572024,2009,1,5,24,4128.891286,265307.8938,1542.154785,99093.39086,6367389.452,64.25644937,4128.891286,265307.8938
35089,35089,1/2/2009,1,53.89710652,767.2752347,0.00483555,2009,1,6,1,2904.898091,156565.6019,53.89710652,2904.898091,156565.6019,53.89710652,2904.898091,156565.6019
35090,35090,1/2/2009,2,54.34761508,774.3001361,0.005108073,2009,1,6,2,2953.663265,160524.5542,108.6952302,5907.32653,321049.1084,54.34761508,2953.663265,160524.5542
35091,35091,1/2/2009,3,54.79812365,781.6079982,0.005418831,2009,1,6,3,3002.834356,164549.6883,164.394371,9008.503067,493649.0649,54.79812365,3002.834356,164549.6883
35092,35092,1/2/2009,4,55.24863222,789.2115336,0.005772602,2009,1,6,4,3052.411362,168641.5527,220.9945289,12209.64545,674566.2109,55.24863222,3052.411362,168641.5527
35093,35093,1/2/2009,5,55.69914079,797.1239592,0.006174974,2009,1,6,5,3102.394285,172800.6961,278.495704,15511.97142,864003.4803,55.69914079,3102.394285,172800.6961
35094,35094,1/2/2009,6,56.14964936,805.3589965,0.006632482,2009,1,6,6,3152.783123,177027.6669,336.8978962,18916.69874,1062166.001,56.14964936,3152.783123,177027.6669
35095,35095,1/2/2009,7,56.60015793,813.9308715,0.007152768,2009,1,6,7,3203.577878,181323.0138,396.2011055,22425.04514,1269261.097,56.60015793,3203.577878,181323.0138
