"","Trend","Date","Hour","temp7","Z1","Peak","year","Month","week","HM"
"35065",35065,2009-01-01,1,53.8947523005007,NA,NA,2009,1,5,1
"35066",35066,2009-01-01,2,54.3452608685584,NA,NA,2009,1,5,2
"35067",35067,2009-01-01,3,54.795769436616,NA,NA,2009,1,5,3
"35068",35068,2009-01-01,4,55.2462780046736,NA,NA,2009,1,5,4
"35069",35069,2009-01-01,5,55.6967865727313,NA,NA,2009,1,5,5
"35070",35070,2009-01-01,6,56.1472951407889,NA,NA,2009,1,5,6
"35071",35071,2009-01-01,7,56.5978037088465,NA,NA,2009,1,5,7
"35072",35072,2009-01-01,8,57.0483122769041,NA,NA,2009,1,5,8
"35073",35073,2009-01-01,9,57.4988208449618,NA,NA,2009,1,5,9
"35074",35074,2009-01-01,10,57.9493294130194,NA,NA,2009,1,5,10
"35075",35075,2009-01-01,11,58.399837981077,NA,NA,2009,1,5,11
"35076",35076,2009-01-01,12,58.8503465491347,NA,NA,2009,1,5,12
"35077",35077,2009-01-01,13,59.3008551171923,NA,NA,2009,1,5,13
"35078",35078,2009-01-01,14,59.7513636852499,NA,NA,2009,1,5,14
"35079",35079,2009-01-01,15,60.2018722533076,NA,NA,2009,1,5,15
"35080",35080,2009-01-01,16,60.6523808213652,NA,NA,2009,1,5,16
"35081",35081,2009-01-01,17,61.1028893894228,NA,NA,2009,1,5,17
"35082",35082,2009-01-01,18,61.5533979574804,NA,NA,2009,1,5,18
"35083",35083,2009-01-01,19,62.0039065255381,NA,NA,2009,1,5,19
"35084",35084,2009-01-01,20,62.4544150935957,NA,NA,2009,1,5,20
"35085",35085,2009-01-01,21,62.9049236616533,NA,NA,2009,1,5,21
"35086",35086,2009-01-01,22,63.355432229711,NA,NA,2009,1,5,22
"35087",35087,2009-01-01,23,63.8059407977686,NA,NA,2009,1,5,23
"35088",35088,2009-01-01,24,64.2564493658262,NA,NA,2009,1,5,24
"35089",35089,2009-01-02,1,53.8971065168409,NA,NA,2009,1,6,1
"35090",35090,2009-01-02,2,54.3476150848986,NA,NA,2009,1,6,2
"35091",35091,2009-01-02,3,54.7981236529562,NA,NA,2009,1,6,3
"35092",35092,2009-01-02,4,55.2486322210138,NA,NA,2009,1,6,4
"35093",35093,2009-01-02,5,55.6991407890714,NA,NA,2009,1,6,5
"35094",35094,2009-01-02,6,56.1496493571291,NA,NA,2009,1,6,6
"35095",35095,2009-01-02,7,56.6001579251867,NA,NA,2009,1,6,7
"35096",35096,2009-01-02,8,57.0506664932443,NA,NA,2009,1,6,8
"35097",35097,2009-01-02,9,57.501175061302,NA,NA,2009,1,6,9
"35098",35098,2009-01-02,10,57.9516836293596,NA,NA,2009,1,6,10
"35099",35099,2009-01-02,11,58.4021921974172,NA,NA,2009,1,6,11
"35100",35100,2009-01-02,12,58.8527007654749,NA,NA,2009,1,6,12
"35101",35101,2009-01-02,13,59.3032093335325,NA,NA,2009,1,6,13
"35102",35102,2009-01-02,14,59.7537179015901,NA,NA,2009,1,6,14
"35103",35103,2009-01-02,15,60.2042264696477,NA,NA,2009,1,6,15
"35104",35104,2009-01-02,16,60.6547350377054,NA,NA,2009,1,6,16
"35105",35105,2009-01-02,17,61.105243605763,NA,NA,2009,1,6,17
"35106",35106,2009-01-02,18,61.5557521738206,NA,NA,2009,1,6,18
"35107",35107,2009-01-02,19,62.0062607418783,NA,NA,2009,1,6,19
"35108",35108,2009-01-02,20,62.4567693099359,NA,NA,2009,1,6,20
