Date,Hour,Daily Peak Probability
1/1/2009,1,0.018
1/1/2009,2,0.019
1/1/2009,3,0.021
1/1/2009,4,0.022
1/1/2009,5,0.024
1/1/2009,6,0.025
1/1/2009,7,0.027
1/1/2009,8,0.029
1/1/2009,9,0.031
1/1/2009,10,0.033
1/1/2009,11,0.035
1/1/2009,12,0.037
1/1/2009,13,0.040
1/1/2009,14,0.042
1/1/2009,15,0.045
1/1/2009,16,0.048
1/1/2009,17,0.051
1/1/2009,18,0.055
1/1/2009,19,0.058
1/1/2009,20,0.062
1/1/2009,21,0.066
1/1/2009,22,0.070
1/1/2009,23,0.075
1/1/2009,24,0.079
1/2/2009,1,0.018
1/2/2009,2,0.019
1/2/2009,3,0.021
1/2/2009,4,0.022
1/2/2009,5,0.024
1/2/2009,6,0.025
1/2/2009,7,0.027
1/2/2009,8,0.029
1/2/2009,9,0.031
1/2/2009,10,0.033
1/2/2009,11,0.035
1/2/2009,12,0.037
1/2/2009,13,0.040
1/2/2009,14,0.042
1/2/2009,15,0.045
1/2/2009,16,0.048
1/2/2009,17,0.051
1/2/2009,18,0.055
1/2/2009,19,0.058
1/2/2009,20,0.062
1/2/2009,21,0.066
1/2/2009,22,0.070
1/2/2009,23,0.075
1/2/2009,24,0.079
1/3/2009,1,0.018
1/3/2009,2,0.019
1/3/2009,3,0.021
1/3/2009,4,0.022
1/3/2009,5,0.024
1/3/2009,6,0.025
1/3/2009,7,0.027
1/3/2009,8,0.029
1/3/2009,9,0.031
1/3/2009,10,0.033
1/3/2009,11,0.035
1/3/2009,12,0.037
1/3/2009,13,0.040
1/3/2009,14,0.042
1/3/2009,15,0.045
1/3/2009,16,0.048
1/3/2009,17,0.051
1/3/2009,18,0.054
1/3/2009,19,0.058
1/3/2009,20,0.062
1/3/2009,21,0.066
1/3/2009,22,0.070
1/3/2009,23,0.075
1/3/2009,24,0.079
1/4/2009,1,0.018
1/4/2009,2,0.019
1/4/2009,3,0.021
1/4/2009,4,0.022
1/4/2009,5,0.024
1/4/2009,6,0.025
1/4/2009,7,0.027
1/4/2009,8,0.029
1/4/2009,9,0.031
1/4/2009,10,0.033
1/4/2009,11,0.035
1/4/2009,12,0.037
1/4/2009,13,0.040
1/4/2009,14,0.042
1/4/2009,15,0.045
1/4/2009,16,0.048
1/4/2009,17,0.051
1/4/2009,18,0.055
1/4/2009,19,0.058
1/4/2009,20,0.062
1/4/2009,21,0.066
1/4/2009,22,0.070
1/4/2009,23,0.075
1/4/2009,24,0.080
1/5/2009,1,0.018
1/5/2009,2,0.019
1/5/2009,3,0.021
1/5/2009,4,0.022
