Trend,Date,Hour,Load,Peak
1,1/1/2005,1,857,0
2,1/1/2005,2,825,0
3,1/1/2005,3,800,0
4,1/1/2005,4,794,0
5,1/1/2005,5,802,0
6,1/1/2005,6,828,0
7,1/1/2005,7,870,0
8,1/1/2005,8,916,0
9,1/1/2005,9,978,0
10,1/1/2005,10,988,1
11,1/1/2005,11,959,0
12,1/1/2005,12,919,0
13,1/1/2005,13,874,0
14,1/1/2005,14,832,0
15,1/1/2005,15,802,0
16,1/1/2005,16,792,0
17,1/1/2005,17,814,0
18,1/1/2005,18,916,0
19,1/1/2005,19,987,0
20,1/1/2005,20,956,0
21,1/1/2005,21,929,0
22,1/1/2005,22,896,0
23,1/1/2005,23,841,0
24,1/1/2005,24,765,0
25,1/2/2005,1,699,0
26,1/2/2005,2,666,0
27,1/2/2005,3,653,0
28,1/2/2005,4,659,0
29,1/2/2005,5,679,0
30,1/2/2005,6,722,0
31,1/2/2005,7,789,0
32,1/2/2005,8,880,0
33,1/2/2005,9,1000,0
34,1/2/2005,10,997,0
35,1/2/2005,11,900,0
36,1/2/2005,12,823,0
37,1/2/2005,13,814,0
38,1/2/2005,14,800,0
39,1/2/2005,15,774,0
40,1/2/2005,16,756,0
41,1/2/2005,17,773,0
42,1/2/2005,18,901,0
43,1/2/2005,19,1001,0
44,1/2/2005,20,1007,1
45,1/2/2005,21,983,0
46,1/2/2005,22,929,0
47,1/2/2005,23,848,0
48,1/2/2005,24,762,0
49,1/3/2005,1,707,0
50,1/3/2005,2,689,0
51,1/3/2005,3,696,0
52,1/3/2005,4,714,0
53,1/3/2005,5,763,0
54,1/3/2005,6,878,0
55,1/3/2005,7,1026,0
56,1/3/2005,8,1084,0
57,1/3/2005,9,1063,0
58,1/3/2005,10,1028,0
59,1/3/2005,11,981,0
60,1/3/2005,12,935,0
61,1/3/2005,13,888,0
62,1/3/2005,14,850,0
63,1/3/2005,15,824,0
64,1/3/2005,16,819,0
65,1/3/2005,17,845,0
66,1/3/2005,18,977,0
67,1/3/2005,19,1095,1
68,1/3/2005,20,1095,1
69,1/3/2005,21,1061,0
70,1/3/2005,22,984,0
71,1/3/2005,23,860,0
72,1/3/2005,24,739,0
73,1/4/2005,1,655,0
74,1/4/2005,2,618,0
75,1/4/2005,3,610,0
76,1/4/2005,4,612,0
77,1/4/2005,5,649,0
78,1/4/2005,6,765,0
79,1/4/2005,7,948,0
80,1/4/2005,8,988,0
81,1/4/2005,9,911,0
82,1/4/2005,10,877,0
83,1/4/2005,11,855,0
84,1/4/2005,12,842,0
85,1/4/2005,13,827,0
86,1/4/2005,14,826,0
87,1/4/2005,15,813,0
88,1/4/2005,16,816,0
89,1/4/2005,17,842,0
90,1/4/2005,18,957,0
91,1/4/2005,19,1074,0
92,1/4/2005,20,1079,1
93,1/4/2005,21,1050,0
94,1/4/2005,22,966,0
95,1/4/2005,23,841,0
96,1/4/2005,24,701,0
97,1/5/2005,1,614,0
98,1/5/2005,2,572,0
99,1/5/2005,3,557,0
100,1/5/2005,4,561,0
101,1/5/2005,5,602,0
102,1/5/2005,6,729,0
103,1/5/2005,7,942,0
104,1/5/2005,8,982,0
105,1/5/2005,9,904,0
106,1/5/2005,10,860,0
107,1/5/2005,11,841,0
108,1/5/2005,12,831,0
109,1/5/2005,13,814,0
110,1/5/2005,14,807,0
111,1/5/2005,15,791,0
112,1/5/2005,16,798,0
113,1/5/2005,17,834,0
114,1/5/2005,18,965,0
115,1/5/2005,19,1083,1
116,1/5/2005,20,1072,0
117,1/5/2005,21,1045,0
118,1/5/2005,22,984,0
119,1/5/2005,23,859,0
120,1/5/2005,24,733,0
121,1/6/2005,1,647,0
122,1/6/2005,2,611,0
123,1/6/2005,3,598,0
124,1/6/2005,4,603,0
125,1/6/2005,5,640,0
126,1/6/2005,6,764,0
127,1/6/2005,7,966,0
128,1/6/2005,8,1001,0
129,1/6/2005,9,919,0
130,1/6/2005,10,898,0
