Date,Trend,Hour,Load
1/1/2005,1,1,156.545
1/1/2005,2,2,147.924
1/1/2005,3,3,141.037
1/1/2005,4,4,139.125
1/1/2005,5,5,140.482
1/1/2005,6,6,144.726
1/1/2005,7,7,151.682
1/1/2005,8,8,160.795
1/1/2005,9,9,176.263
1/1/2005,10,10,179.873
1/1/2005,11,11,177.61
1/1/2005,12,12,173.02
1/1/2005,13,13,163.495
1/1/2005,14,14,154.555
1/1/2005,15,15,148.92
1/1/2005,16,16,147.001
1/1/2005,17,17,151.095
1/1/2005,18,18,173.793
1/1/2005,19,19,190.031
1/1/2005,20,20,185.218
1/1/2005,21,21,177.967
1/1/2005,22,22,169.502
1/1/2005,23,23,155.938
1/1/2005,24,24,139.258
1/2/2005,25,1,125.346
1/2/2005,26,2,118.416
1/2/2005,27,3,116.78
1/2/2005,28,4,118.143
1/2/2005,29,5,122.795
1/2/2005,30,6,129.928
1/2/2005,31,7,143.2
1/2/2005,32,8,163.824
1/2/2005,33,9,189.415
1/2/2005,34,10,188.124
1/2/2005,35,11,169.805
1/2/2005,36,12,155.386
1/2/2005,37,13,152.769
1/2/2005,38,14,148.993
1/2/2005,39,15,143.25
1/2/2005,40,16,140.381
1/2/2005,41,17,144.44
1/2/2005,42,18,172
1/2/2005,43,19,193.696
1/2/2005,44,20,193.642
1/2/2005,45,21,187.023
1/2/2005,46,22,175.177
1/2/2005,47,23,155.832
1/2/2005,48,24,135.549
1/3/2005,49,1,122.339
1/3/2005,50,2,118.007
1/3/2005,51,3,118.395
1/3/2005,52,4,121.96
1/3/2005,53,5,130.08
1/3/2005,54,6,149.409
1/3/2005,55,7,175.835
1/3/2005,56,8,182.662
1/3/2005,57,9,178.082
1/3/2005,58,10,173.236
1/3/2005,59,11,163.255
1/3/2005,60,12,155.088
1/3/2005,61,13,149.04
1/3/2005,62,14,142.998
1/3/2005,63,15,139.973
1/3/2005,64,16,139.375
1/3/2005,65,17,147.925
1/3/2005,66,18,176.941
1/3/2005,67,19,206.153
1/3/2005,68,20,207.321
1/3/2005,69,21,198.564
1/3/2005,70,22,181.833
1/3/2005,71,23,156.097
1/3/2005,72,24,130.021
1/4/2005,73,1,112.989
1/4/2005,74,2,106.235
1/4/2005,75,3,104.199
1/4/2005,76,4,104.42
1/4/2005,77,5,110.352
1/4/2005,78,6,130.518
1/4/2005,79,7,165.65
1/4/2005,80,8,170.033
1/4/2005,81,9,153.113
1/4/2005,82,10,144.468
1/4/2005,83,11,138.553
1/4/2005,84,12,135.031
1/4/2005,85,13,133.268
1/4/2005,86,14,131.919
1/4/2005,87,15,131.724
1/4/2005,88,16,134.757
1/4/2005,89,17,141.92
1/4/2005,90,18,169.484
1/4/2005,91,19,198.253
1/4/2005,92,20,199.114
1/4/2005,93,21,192.287
1/4/2005,94,22,174.515
1/4/2005,95,23,149.467
1/4/2005,96,24,121.726
1/5/2005,97,1,104.565
1/5/2005,98,2,96.84
1/5/2005,99,3,94.634
1/5/2005,100,4,95.623
1/5/2005,101,5,102.136
1/5/2005,102,6,124.298
1/5/2005,103,7,163.341
1/5/2005,104,8,166.844
1/5/2005,105,9,149.561
1/5/2005,106,10,140.662
1/5/2005,107,11,135.669
1/5/2005,108,12,132.079
1/5/2005,109,13,130.654
1/5/2005,110,14,127.779
1/5/2005,111,15,126.039
1/5/2005,112,16,129.564
1/5/2005,113,17,139.329
1/5/2005,114,18,169.886
1/5/2005,115,19,197.035
1/5/2005,116,20,195.727
1/5/2005,117,21,189.599
1/5/2005,118,22,176.341
1/5/2005,119,23,150.423
1/5/2005,120,24,123.757
1/6/2005,121,1,107.946
1/6/2005,122,2,102.144
1/6/2005,123,3,99.825
1/6/2005,124,4,100.859
1/6/2005,125,5,107.084
1/6/2005,126,6,127.78
1/6/2005,127,7,166.032
1/6/2005,128,8,169.466
1/6/2005,129,9,150.995
1/6/2005,130,10,145.449
1/6/2005,131,11,141.949
1/6/2005,132,12,138.987
1/6/2005,133,13,135.396
1/6/2005,134,14,132.923
1/6/2005,135,15,131.465
1/6/2005,136,16,137.457
1/6/2005,137,17,149.239
1/6/2005,138,18,174.788
1/6/2005,139,19,197.42
1/6/2005,140,20,198.447
1/6/2005,141,21,193.57
1/6/2005,142,22,177.003
1/6/2005,143,23,152.605
1/6/2005,144,24,128.032
1/7/2005,145,1,111.621
1/7/2005,146,2,105.98
1/7/2005,147,3,104.822
1/7/2005,148,4,106.6
1/7/2005,149,5,113.536
1/7/2005,150,6,136.573
1/7/2005,151,7,178.342
1/7/2005,152,8,184.53
1/7/2005,153,9,165.119
1/7/2005,154,10,158.12
1/7/2005,155,11,150.052
1/7/2005,156,12,143.043
1/7/2005,157,13,139.199
1/7/2005,158,14,134.826
1/7/2005,159,15,131.926
1/7/2005,160,16,134.451
1/7/2005,161,17,141.841
1/7/2005,162,18,167.857
1/7/2005,163,19,187.906
1/7/2005,164,20,182.566
1/7/2005,165,21,177.1
1/7/2005,166,22,167.515
1/7/2005,167,23,154.516
1/7/2005,168,24,135.599
1/8/2005,169,1,120.29
1/8/2005,170,2,111.896
1/8/2005,171,3,108.874
1/8/2005,172,4,109.066
1/8/2005,173,5,111.348
1/8/2005,174,6,116.849
1/8/2005,175,7,126.358
1/8/2005,176,8,140.613
1/8/2005,177,9,157.33
1/8/2005,178,10,168.881
1/8/2005,179,11,171.513
1/8/2005,180,12,168.229
1/8/2005,181,13,161.64
1/8/2005,182,14,154.324
1/8/2005,183,15,148.935
1/8/2005,184,16,146.992
1/8/2005,185,17,149.77
1/8/2005,186,18,166.561
1/8/2005,187,19,186.506
1/8/2005,188,20,182.54
1/8/2005,189,21,177.851
1/8/2005,190,22,169.805
1/8/2005,191,23,158.842
1/8/2005,192,24,142.696
1/9/2005,193,1,129.81
1/9/2005,194,2,122.627
1/9/2005,195,3,122.176
1/9/2005,196,4,124.299
1/9/2005,197,5,128.616
1/9/2005,198,6,136.82
1/9/2005,199,7,150.386
1/9/2005,200,8,172.917
1/9/2005,201,9,199.872
1/9/2005,202,10,198.357
1/9/2005,203,11,180.796
1/9/2005,204,12,166.886
1/9/2005,205,13,161.394
1/9/2005,206,14,154.025
1/9/2005,207,15,146.333
1/9/2005,208,16,144.689
1/9/2005,209,17,151.287
1/9/2005,210,18,176.959
1/9/2005,211,19,208.47
1/9/2005,212,20,214.137
1/9/2005,213,21,212.432
1/9/2005,214,22,199.38
1/9/2005,215,23,179.452
1/9/2005,216,24,158.126
1/10/2005,217,1,147.595
1/10/2005,218,2,145.742
1/10/2005,219,3,148.706
1/10/2005,220,4,153.038
1/10/2005,221,5,161.992
1/10/2005,222,6,186.216
1/10/2005,223,7,225.06
1/10/2005,224,8,225.025
1/10/2005,225,9,200.362
1/10/2005,226,10,181.581
1/10/2005,227,11,166.361
1/10/2005,228,12,152.977
1/10/2005,229,13,142.607
1/10/2005,230,14,135.239
1/10/2005,231,15,130.964
1/10/2005,232,16,133.051
1/10/2005,233,17,144.8
1/10/2005,234,18,176.668
1/10/2005,235,19,207.927
1/10/2005,236,20,211.89
1/10/2005,237,21,208.58
1/10/2005,238,22,194.433
1/10/2005,239,23,169.332
1/10/2005,240,24,146.884
1/11/2005,241,1,134.621
1/11/2005,242,2,132.008
1/11/2005,243,3,133.114
1/11/2005,244,4,136.257
1/11/2005,245,5,146.041
1/11/2005,246,6,171.008
1/11/2005,247,7,211.266
1/11/2005,248,8,213.171
1/11/2005,249,9,190.843
1/11/2005,250,10,175.15
1/11/2005,251,11,161.211
1/11/2005,252,12,149.756
1/11/2005,253,13,140.731
1/11/2005,254,14,133.966
1/11/2005,255,15,130.015
1/11/2005,256,16,133.216
1/11/2005,257,17,144.086
1/11/2005,258,18,174.329
1/11/2005,259,19,206.557
1/11/2005,260,20,210.775
1/11/2005,261,21,205.993
1/11/2005,262,22,190.819
1/11/2005,263,23,167.032
1/11/2005,264,24,143.249
1/12/2005,265,1,129.382
1/12/2005,266,2,125.572
1/12/2005,267,3,124.442
1/12/2005,268,4,125.661
1/12/2005,269,5,132.579
1/12/2005,270,6,154.815
1/12/2005,271,7,193.491
1/12/2005,272,8,192.783
1/12/2005,273,9,170.273
1/12/2005,274,10,157.45
1/12/2005,275,11,147.7
1/12/2005,276,12,140.526
1/12/2005,277,13,136.022
1/12/2005,278,14,131.55
1/12/2005,279,15,128.767
1/12/2005,280,16,131.11
1/12/2005,281,17,142.399
1/12/2005,282,18,171.462
1/12/2005,283,19,197.226
1/12/2005,284,20,195.826
1/12/2005,285,21,188.256
1/12/2005,286,22,175.693
1/12/2005,287,23,148.797
1/12/2005,288,24,122.052
1/13/2005,289,1,106.016
1/13/2005,290,2,99.295
1/13/2005,291,3,96.127
1/13/2005,292,4,95.773
1/13/2005,293,5,100.854
1/13/2005,294,6,120.561
1/13/2005,295,7,158.879
1/13/2005,296,8,162.411
1/13/2005,297,9,144.819
1/13/2005,298,10,138.803
1/13/2005,299,11,135.346
1/13/2005,300,12,132.351
1/13/2005,301,13,130.687
1/13/2005,302,14,129.387
1/13/2005,303,15,127.958
1/13/2005,304,16,130.99
1/13/2005,305,17,141.433
1/13/2005,306,18,167.438
1/13/2005,307,19,192.056
1/13/2005,308,20,194.207
1/13/2005,309,21,187.826
1/13/2005,310,22,173.347
1/13/2005,311,23,148.434
1/13/2005,312,24,122.736
1/14/2005,313,1,105.389
1/14/2005,314,2,97.724
1/14/2005,315,3,94.228
1/14/2005,316,4,93.822
1/14/2005,317,5,97.799
1/14/2005,318,6,116.107
1/14/2005,319,7,152.821
1/14/2005,320,8,162.453
1/14/2005,321,9,150.47
1/14/2005,322,10,150.482
1/14/2005,323,11,153.648
1/14/2005,324,12,154.938
1/14/2005,325,13,154.534
1/14/2005,326,14,153.547
1/14/2005,327,15,154.834
1/14/2005,328,16,161.616
1/14/2005,329,17,171.516
1/14/2005,330,18,194.189
1/14/2005,331,19,221.777
1/14/2005,332,20,221.993
1/14/2005,333,21,221.169
1/14/2005,334,22,215.464
1/14/2005,335,23,205.282
1/14/2005,336,24,191.128
1/15/2005,337,1,180.275
1/15/2005,338,2,177.508
1/15/2005,339,3,179.321
1/15/2005,340,4,182.861
1/15/2005,341,5,189.729
1/15/2005,342,6,198.356
1/15/2005,343,7,210.537
1/15/2005,344,8,228.506
1/15/2005,345,9,248.676
1/15/2005,346,10,251.226
1/15/2005,347,11,237.864
1/15/2005,348,12,222.535
1/15/2005,349,13,207.697
1/15/2005,350,14,197.81
1/15/2005,351,15,192.453
1/15/2005,352,16,194.762
1/15/2005,353,17,206.554
1/15/2005,354,18,227.982
1/15/2005,355,19,247.555
1/15/2005,356,20,244.176
1/15/2005,357,21,242.706
1/15/2005,358,22,234.982
1/15/2005,359,23,223.998
1/15/2005,360,24,206.878
1/16/2005,361,1,192.905
1/16/2005,362,2,187.453
1/16/2005,363,3,185.873
1/16/2005,364,4,187.231
1/16/2005,365,5,190.408
1/16/2005,366,6,196.564
1/16/2005,367,7,207.381
1/16/2005,368,8,228.103
1/16/2005,369,9,252.651
1/16/2005,370,10,248.134
1/16/2005,371,11,222.404
1/16/2005,372,12,203.278
1/16/2005,373,13,193.33
1/16/2005,374,14,181.874
1/16/2005,375,15,170.527
1/16/2005,376,16,166.02
1/16/2005,377,17,174.584
1/16/2005,378,18,203.483
1/16/2005,379,19,237.121
1/16/2005,380,20,244.812
1/16/2005,381,21,245.629
1/16/2005,382,22,238.291
1/16/2005,383,23,223.395
1/16/2005,384,24,207.964
1/17/2005,385,1,200.574
1/17/2005,386,2,202.903
1/17/2005,387,3,209.625
1/17/2005,388,4,218.355
1/17/2005,389,5,231.274
1/17/2005,390,6,254.807
1/17/2005,391,7,281.082
1/17/2005,392,8,293.976
1/17/2005,393,9,292.942
1/17/2005,394,10,285.15
1/17/2005,395,11,273.437
1/17/2005,396,12,257.319
1/17/2005,397,13,240.838
1/17/2005,398,14,228.109
1/17/2005,399,15,219.542
1/17/2005,400,16,220.037
1/17/2005,401,17,235.461
1/17/2005,402,18,279.107
1/17/2005,403,19,319.404
1/17/2005,404,20,327.282
1/17/2005,405,21,325.066
1/17/2005,406,22,311.024
1/17/2005,407,23,287.114
1/17/2005,408,24,267.387
1/18/2005,409,1,259.416
1/18/2005,410,2,261.588
1/18/2005,411,3,267.033
1/18/2005,412,4,273.639
1/18/2005,413,5,285.307
1/18/2005,414,6,314.389
1/18/2005,415,7,356.132
1/18/2005,416,8,353.248
1/18/2005,417,9,320.226
1/18/2005,418,10,307.518
1/18/2005,419,11,280.995
1/18/2005,420,12,258.837
1/18/2005,421,13,240.121
1/18/2005,422,14,224.689
1/18/2005,423,15,215.725
1/18/2005,424,16,216.815
1/18/2005,425,17,234.608
1/18/2005,426,18,278.461
1/18/2005,427,19,324.092
1/18/2005,428,20,337.256
1/18/2005,429,21,335.566
1/18/2005,430,22,325.843
1/18/2005,431,23,308.797
1/18/2005,432,24,290.285
1/19/2005,433,1,284.984
1/19/2005,434,2,288.658
1/19/2005,435,3,295.093
1/19/2005,436,4,301.772
1/19/2005,437,5,308.911
1/19/2005,438,6,332.116
1/19/2005,439,7,360.064
1/19/2005,440,8,345.789
1/19/2005,441,9,331.565
1/19/2005,442,10,312.474
1/19/2005,443,11,303.797
1/19/2005,444,12,294.8
1/19/2005,445,13,285.993
1/19/2005,446,14,274.521
1/19/2005,447,15,265.761
